num1,city,gu,roadname,where,address,latitude,longitude
대전-중구-77,대전광역시,중구,대둔산로 130,LPG충전소 앞 승강장,대전광역시 중구 대둔산로 130 LPG충전소 앞 승강장,36.28314405209685,127.376088834607
대전-중구-78,대전광역시,중구, 보문로 258,중구청 맞은편 승강장,대전광역시 중구 보문로 258 중구청 맞은편 승강장,36.32548413,127.4221437
대전-중구-79,대전광역시,중구, 중앙로 118 ,대전도시공사 본사 앞 승강장,대전광역시 중구 중앙로 118 대전도시공사 본사 앞 승강장,36.32751733,127.4228409
대전-중구-80,대전광역시,중구, 보문로 193 ,앞 승강장,대전광역시 중구 보문로 193 앞 승강장,36.32016003,127.424335
대전-중구-81,대전광역시,중구, 대흥로 64  , 대전성모병원 정문 앞,대전광역시 중구 대흥로 64  대전성모병원 정문 앞,36.32376803,127.420372
대전-중구-82,대전광역시,중구, 중앙로 156 ,푸마매장 앞 승강장,대전광역시 중구 중앙로 156 푸마매장 앞 승강장,36.32895803,127.4267583
대전-중구-83,대전광역시,중구, 중앙로 160 ,앞 승강장,대전광역시 중구 중앙로 160 앞 승강장,36.32920033,127.4274096
대전-중구-84,대전광역시,중구, 중앙로 170  ,앞 승강장,대전광역시 중구 중앙로 170  앞 승강장,36.32944253,127.428061
대전-중구-85,대전광역시,중구, 보문로 170,앞 승강장,대전광역시 중구 보문로 170 앞 승강장,36.31815533,127.4254893
대전-중구-86,대전광역시,중구, 보문로 192-2 ,앞 승강장,대전광역시 중구 보문로 192-2 앞 승강장,36.32298293,127.4242434
대전-중구-87,대전광역시,중구, 대흥로 110 ,대전고등학교 정문 앞 승강장,대전광역시 중구 대흥로 110 대전고등학교 정문 앞 승강장,36.31998323,127.4243762
대전-중구-88,대전광역시,중구, 대종로 471 ,대흥동성당 앞 승강장,대전광역시 중구 대종로 471 대흥동성당 앞 승강장,36.32708013,127.4267387
대전-중구-89,대전광역시,중구, 중앙로 136,중부우리안과 앞 승강장,대전광역시 중구 중앙로 136 중부우리안과 앞 승강장,36.32816363,127.4246167
대전-중구-90,대전광역시,중구, 중앙로 126 , 메가박스 앞 승강장,대전광역시 중구 중앙로 126 메가박스 앞 승강장,36.32790823,127.423936
대전-중구-91,대전광역시,중구, 대종로 411 ,하나로마트 앞 승강장,대전광역시 중구 대종로 411 하나로마트 앞 승강장,36.32212583,127.4296641
